post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47618189,Tailscale's new macOS home,technology,221,102,tosh,2026-04-02 17:14:16.075666,0.4594594594594595,True
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,88,29,sedev,2026-04-02 17:14:16.076739,0.3258426966292135,False
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,393,93,AbuAssar,2026-04-02 17:14:16.077431,0.23604060913705585,True
47617376,OpenAI Acquires TBPN,technology,109,82,surprisetalk,2026-04-02 17:14:16.078519,0.7454545454545455,False
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,239,180,mooreds,2026-04-02 17:14:16.079100,0.75,True
47611921,Significant Raise of Reports,technology,260,136,stratos123,2026-04-02 17:14:16.079759,0.5210727969348659,True
47615876,The case for zero-error horizons in trustworthy LLMs,technology,63,87,daigoba66,2026-04-02 17:14:16.080364,1.359375,False
47619322,A $20/month user costs OpenAI $65 in compute. AI video is a money furnace,technology,30,10,Aedelon,2026-04-02 17:14:16.080960,0.3225806451612903,False
47620426,Amazon data center in Bahrain attacked by Iranian Revolutionary Guards,technology,11,0,topherPedersen,2026-04-02 17:14:16.081568,0.0,False
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,135,43,jackson-mcd,2026-04-02 17:14:16.082152,0.3161764705882353,False
47620381,AWS has officially removed all EC2 instances in Bahrain from their docs,technology,8,0,mirzap,2026-04-02 17:14:16.082666,0.0,False
47620155,Marc Andreessen Is Right That AI Isn't Killing Jobs. Interest Rate Hikes Are,technology,10,1,bigbobbeeper,2026-04-02 17:14:16.083147,0.09090909090909091,False
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,67,27,ronfriedhaber,2026-04-02 17:14:16.083584,0.39705882352941174,False
47617463,Users say Adobe Creative Cloud rewrote hosts file to detect installed app,technology,41,3,bobsoap,2026-04-02 17:14:16.084034,0.07142857142857142,False
47609694,Email obfuscation: What works in 2026?,technology,329,93,jaden,2026-04-02 17:14:16.084472,0.2818181818181818,True
47618322,Mistral secures $830M in debt financing to fund AI data center,technology,25,2,gmays,2026-04-02 17:14:16.085143,0.07692307692307693,False
47588103,"On the trail of ancient art, deep in the Sahara",technology,25,3,bookofjoe,2026-04-02 17:14:16.085882,0.11538461538461539,False
